,screen_name,lang,followers_count,friends_count,cluster_name,cluster_country,description
64,GoodwinMJ,en,12603,507,British,UK,"Professor of Politics, University of Kent. Senior Visiting Fellow Chatham House. ESRC Senior Fellow Britain & Europe. Author, Political Book of the Year 2015."
65,meralhece,en,8332,2539,British,UK,"Londoner of Turkish-Cypriot heritage. Equalities, Human Rights.'Well behaved women never changed the world' Lib Dem. House of Lords."
66,HansardSociety,en,7491,2655,British,UK,Promoting democracy • Strengthening parliaments
67,tweetminster,en,59183,8582,British,UK,"A media utility that connects you to the influencers, trends and news that shape current affairs."
68,PaulSandars,en,5476,6020,British,UK,"Me? Labour, Cricket, Celtophile, Worcestershire CCC and WBA FC   All tweets in personal capacity. RTs not necessarily endorsements. Never forget @nikkithomson"
69,politicshome,en,60743,1230,British,UK,"Staying on top of modern politics has become a full time job. http://t.co/egFQZmIKi4 acts as an intelligent filter, giving min by min coverage of UK politics."
70,mrjamesmack,en,5809,5969,British,UK,"Commercial Director @cutbot, @nationbetter editor. Ex head of media @GreenMSPs. ❤️@pastachips❤️ Open to helping good causes with PR/PA. Not a nationalist but..."
71,LouiseMensch,en,93922,8151,British,UK,"'Lord, thou knowest how busy I must be this day. If I forget thee, do not thou forget me.' Sir Jacob Astley, before the Battle of Edgehill"
72,FSB_HQ,en,128,0,British,UK,"We're now over @fsb_policy, so be sure to follow us and use this in all your tweets."
73,LonGreenParty,en,10255,1393,British,UK,"The Green Party is London's third party. Vote Green for a more sustainable, just and equal society."
74,trillingual,en,8664,810,British,UK,Editor of @NewHumanist. Writing a book on refugees at Europe's borders; wrote one for Verso on Britain's far right. Reports collected at link below.
75,CarbonBrief,en,19675,2797,British,UK,"Website dedicated to analysis and fact-checking of energy policy and climate science, with a focus on the UK."
76,HadleighRoberts,en,1692,1051,British,UK,Vice Chair of Bristol Labour Party and former MEP and MP candidate. Originally an interpreter/translator of French and Spanish.
77,KatrinaNation,en,126498,30288,British,UK,The Nation magazine Editor and Publisher
78,Vote_UKIP,en,6312,693,British,UK,Supporting the UK Independence Party on Twitter.  Run unofficially by a UKIP supporter. Follow @UKIP & @Nigel_Farage
79,pinknews,en,85237,895,British,UK,"The world's most respected and trusted LGBT (lesbian, gay, bisexual and trans) news publisher. Celebrating 10 years of breaking news in 2015!"
80,petervhale,en,7970,8734,British,UK,"PhD computing and engineering. I am a published academic author, experienced computing researcher, volunteer, Rethink & BALP member Bristol Active Life Project."
81,ukipwebmaster,en,3058,438,British,UK,Pressing the right buttons. Views are my own.
82,KellyMarieLD,en,3410,3176,British,UK,"Quite Liberal Democrat. Feminist. Social Liberal. No beard, socks'n'sandals. Find what you love and let it kill you -Charles Bukowski"
83,RedHotSquirrel,en,7956,2866,British,UK,Well-travelled geopolitics junkie and strong supporter of Britain's exit from the EU. #MyViews. RTs and Follows are not endorsements.
84,zsstevens,en,5232,279,British,UK,"Publisher http://t.co/ZH3m86BXJB 
Banffshire & Buchan Coast MSP 2011-now; Scottish Govt Minister 2007-10 and 2011-12; Banff & Buchan MSP 2001-11; SNP 1961-now"
85,DianaJohnsonMP,en,13072,2076,British,UK,"Labour MP for Hull North since 2005. First woman to represent Hull. Shadow Home Office Minister. Current majority 12,899. Casework e-mail johnsond@parliament.uk"
86,LouiseBaldock,en,5280,3249,British,UK,"Social campaigner, Labour,  poverty, housing, governance and scrutiny, cyclist, small business owner and mentor, author"
87,LSEpoliticsblog,en,41533,14093,British,UK,Experts analyse and debate recent developments across UK government. Managing Editor: @JoelSuss
88,PJDunleavy,en,12693,12570,British,UK,"Political scientist, #LSE & @UCIGPA - elections & parties, state theory, political power,  digital government & IT. Higher education & academic authoring"
89,WillDuckworthGP,en,3648,2123,British,UK,"General election Candidate for Dudley North, first #GreenParty councillor in the Black Country, fighting #austerity,always #left oppose #ecocide defend #NHS"
90,NaraHodge,en,16409,7029,British,UK,~Conservatives Abroad Patron ~Tory~ Friend of British Overseas Territories ~Politics addict~ Coffee lover~ Bibliophile with BA Russian and MA English Literature
91,val_hudson,en,3724,1565,British,UK,Absolutely Labour Left. CLP officer & 2015 agent. Involved as patient advocate for ppl with asthma promoting patients as equal partners in policy & research
92,MikeGapes,en,8925,539,British,UK,Labour and Co-operative Member of Parlament for Ilford South since 1992. Season ticket holder in the Bobby Moore stand at Upton Park.
93,NottsPolitics,en,5655,4635,British,UK,"The School of Politics & International Relations, Nottingham University. Blogging at http://t.co/02cmgYjgq9. We re-tweet to promote debate not to endorse."
94,CllrSi,en,3617,3219,British,UK,"Calderdale Labour Councillor. Cabinet Member for Public Health, Wellbeing & Engagement. Community campaigner. Member of Unison, GMB, LGBT Labour, Co-op Party."
95,theresag_eu,en,0,0,British,UK,Now tweeting from @TheresaMEP.
96,2tweetaboutit,en,9425,10329,British,UK,“I just would like for my grandchildren to read some day that I did my part in saving my country from this lunacy”
97,UKLabour,en,250947,15150,British,UK,"Twitter feed of the UK Labour Party, keeping you up-to-date with news, speeches, events & videos."
98,tonyfroberts,en,2501,1987,British,UK,"Against overbearing state & political correctness. Love Europe, loathe EU. AGW not true. Try not to get wound up, usually fail. Love cats. UKIP"
99,georgeeaton,en,23287,2480,British,UK,"Political Editor, New Statesman
george@newstatesman.co.uk"
100,BenCooper86,en,5737,3984,British,UK,"Former @LabourUK & @CoopParty councillor, @UsdawUnion & @LGBTLabour member. Work @cafealfresco. Listen @ToveStyrke. Likes dimples. #Liz4Leader #Ben4Deputy"
101,warrenmorgan,en,5155,3295,British,UK,"Leader of Brighton & Hove City Council, Labour & Co-operative Councillor for East Brighton and #bhafc fan."
102,UKIPSusannah,en,2510,2716,British,UK,"Chairman of UKIP Esher & Walton Constituency Association, Surrey. EU Referendum on its way thanks to UKIP pressure.  Vote OUT to win."
103,daveskid73,en,4602,4245,British,UK,Nhs worker - I'm trying to raise money in memory of my Grandma for BRACE - Alzheimer's Research because she died of Alzheimer's and we need to find a cure
104,Celebs4indy,en,12437,2037,British,UK,"Information, quotes and references from well known supporters of, and commentators on, Scottish Independence. Non-partisan & pro-indy."
105,1extory,en,1875,2014,British,UK,UKIP
106,WingsScotland,en,44184,251,British,UK,"Scottish political commentary, analysis, media monitoring. Occasionally football.  
'A necessary wanker' - Helen Millburn."
107,strathearnrose,en,11473,1236,British,UK,"MSP for Perthshire Sth & Kinross-shire & Scottish Government Cabinet Secretary for Fair Work, Skills & Training.  For constituency enquiries call 01738 620540"
108,markgr101,en,3384,113,British,UK,"*Power can be taken, but not given. The process of the taking is empowerment in itself.* Gloria Steinem"
109,AmpersUK,en,2305,1825,British,UK,"Patron member of UKIP. RT not an endorsement. Not really a rottweiler, more a kind fluffy pussycat! UKIP Chat #: 28181765166  Profile: http://t.co/H9n0Qp4vSy"
110,woodlandsandrew,en,57306,17841,British,UK,UKIP Environment and Housing Spokesman
111,AWordIfIMay,en,4455,3997,British,UK,"Glass half full guy in property, proud Dad, seeking UK true democracy, loving Countryside, Aviation, Humour, and playing musical keyboard loudly"
112,SamTarry,en,4764,3392,British,UK,Campaigner. National Political Officer @TssaUnion .Chadwell Heath Labour Councillor @LBBDCouncil Support @LeicesterTigers @hopenothate
113,Backbench_UK,en,3559,3020,British,UK,Open platform politics. Comment journalism for a digital age. #PoliticsMatters
114,KirkKus,en,3152,2676,British,UK,22. UKIP YI Chairman for the East Midlands. IT Technician. Studying Network&Security at @DerbyUni. @tfa4freedom&@UKIP member. Blogger at http://t.co/vEEdCT49R6
115,BBCGaryR,en,14288,1770,British,UK,"Presenter of Good Morning Scotland - BBC Radio Scotland 92-95FM, 810MW & on digital."
116,MargotLJParker,en,5196,1550,British,UK,"UKIP MEP for the East Midlands. Love Europe, not the EU. All  views are mine."
117,__GriffCo__,en,5000,4549,British,UK,"~ Radical egalitarian - Cultural centrist ~ Wales, UK - RT Not always endorsement #musician #careworker #existentialism #vape #Commonwealth #UKIP #No2EU #Brexit"
118,daily_politics,en,92648,3553,British,UK,"BBC Daily & Sunday Politics: Andrew Neil & Jo Coburn: BBC1 Sun 1100 #bbcsp, BBC2 weekdays 1200 (Wed from 1130) #bbcdp (later on BBC Parliament & iPlayer)"
119,Jim_Watford,en,2955,2577,British,UK,"I tweet what I think and don't justify my options to anyone. I also swear a bit, you've been warned. My ranting doesn't always reflect UKIP policy."
120,LordAshcroft,en,45488,176,British,UK,"Official Twitter profile for Lord Ashcroft KCMG PC, former Deputy Chairman of the Conservative Party, author, international businessman and philanthropist."
121,LukePollard,en,6728,6942,British,UK,"Plymouth, Labour, hockey, Argyle, skyscrapers and cake."
122,oflynndirector,en,3,43,British,UK,
123,robfordmancs,en,6168,1148,British,UK,"Immigration, public opinion, radical right, elections. Author of @RevoltonRight. Editor of @sexliesvotes. Opinions my own, RTs not endorsements"
124,Michael_Heaver,en,6872,981,British,UK,Working for @Nigel_Farage to help secure #Brexit. Love #CFC & Balearic sunsets.
125,GaryJRobinson,en,3081,1313,British,UK,"Commentator, Brexpert, Politico, RT does not constitute agreement or endorsement. Tweeting in personal capacity."
126,Mancman10,en,3979,3768,British,UK,"I love socialising, Sport(Watching),Playing Tennis,long walks music, politics #Labour the news, fun,i'm easy going, kind, caring,RT's not an endorsement per se"
127,alexsobel,en,3919,2408,British,UK,Husband & Father. Cllr Moortown & Meanwood. Support Exec Member for Climate Change. Manager Soc Ent YH. Community Activist. GMB Member. Fighter 4 social justice
128,UKIPbevand7,en,2410,2258,British,UK,"UKIP Deputy Chairman North West Region,"
129,GreenRupertRead,en,5363,447,British,UK,"The Green Party’s national Transport Spokesperson, & 2015 Green MP-Candidate for Cambridge.                    Conversations are for real life, not for Twitter."
130,Puffles2010,en,6780,1674,British,UK,Policy and politics news feed run by @ACarpenDigital. Puffles got 89 votes in Coleridge ward in Cambridge #localgov elections 2014
131,RupertRead,en,3020,557,British,UK,"I'm Reader in Philosophy at UEA, Co-founder of @LeaveRKidsAlone , and Chair of @GreenHouse_UK . (To follow my 'politician' account too: goto @GreenRupertRead )"
132,RedPeppermag,en,18335,7125,British,UK,Spicing up politics. Try 4 issues for just £5 today: http://t.co/YLzZBWNGKw
133,JamieJBartlett,en,8953,988,British,UK,"Director of Centre for the Analysis of Social Media, Demos & blogger for @telegraph. My book 'The Dark Net' out now: http://t.co/gkucFpvGai 'Radicals' out 2017."
134,GwynneMP,en,14504,795,British,UK,"Labour Member of Parliament for Denton & Reddish (including Audenshaw, Dukinfield, Heaton Chapel & Heaton Norris). For casework, email: GwynneA@parliament.uk"
135,guardian,en,4160841,1095,British,UK,"Top stories, special features, live blogs and more"
136,rog_ukip,en,4413,4084,British,UK,QPR FC season ticket holder / NHS supporter / UKIP member / Catholic.
137,danielrhamilton,en,4400,745,British,UK,"Senior Director at global business advisory firm. Brit-Brazilian. Fmr Conservative candidate. Tweets: EU, Brazil, Balkans, Caucasus, Ukraine, NATO, TTIP & food."
138,PhilipWalters9,en,3112,3612,British,UK,"Disabled ex Armed Forces - swearing at me = BLOCK - Learn by own mistakes - Responsibilities, not Rights! - Liberty Freedom & Justice - Make Sharia Law Illegal"
139,LGBTLabour,en,22981,1298,British,UK,"The Labour Campaign for Lesbian, Gay, Bisexual & Trans Rights. Celebrating our 40th anniversary 1975-2015. Affiliated to @UKLabour"
140,ConversationUK,en,37475,7842,British,UK,An independent news and commentary website produced by academics and journalists. Free to read and republish.
141,carolynleckie,en,8659,4082,British,UK,LLB & DPLP graduate seeking traineeship. Columnist @scotnational. Member of @Womenforindy. Tweets all my responsibility. RTs may be endorsements & may be not.
142,WOWpetition,en,12865,6309,British,UK,The campaign  to fight against cuts to services and support for sick and disabled people and carers  Sign http://t.co/99DhYNu9N9
143,BHAhumanists,en,52830,2211,British,UK,British Humanist Assoc: national charity working on behalf of non-religious people who seek to live ethical & fulﬁlling lives on the basis of reason & humanity
144,JohnRentoul,en,53038,286,British,UK,"Columnist, Independent on Sunday; visiting professor, King's College, London & Queen Mary Univ London; books: Tony Blair, PM; Banned List; QTWTAIN; Listellany"
145,Green_Caroline,en,4924,1955,British,UK,Vet. London Green Party Co-cordinator and national Spokesperson on Animals. My own views.
146,NFUtweets,en,33218,2092,British,UK,"The NFU of England & Wales provides a strong & respected voice for agriculture. We tweet Mon-Fri 9am-5pm about food & farming issues
#BackBritishFarming"
147,bmj_latest,en,188575,5102,British,UK,"The BMJ aims to lead the debate on health, and to engage doctors, researchers and health professionals to improve outcomes for patients."
148,A_Liberty_Rebel,en,9291,1294,British,UK,"Small-state, low-tax, free-markets libertarian-minarchist, per Hayek, Friedman & Nozick. Anti all Leftism: economic, cultural, Green, Islamist or Eurofederalist"
149,EuroLabour,en,2166,1351,British,UK,News from Labour in the European Parliament
150,arusbridger,en,171636,2071,British,UK,"Ex-Editor, Guardian. Author, Play it Again. Public Key: http://t.co/7UwGTriwMC Soon: LMH Oxford & Scott Trust. alan.rusbridger@guardian.co.uk"
151,Markfergusonuk,en,21620,2686,British,UK,"Work on Strategic Communications for @lizforleader

Sunderland fan. Come for the politics, stay for the football"
152,tcktcktck,en,37130,9790,British,UK,We are an alliance of more than 450 global nonprofit organisations working for a strong climate change deal. Follow us for the latest on #climate & #cleanenergy
153,WelshConserv,en,6228,1783,British,UK,"Welsh Conservatives - the true #PartyOfWales

http://t.co/csaxubuEpK

http://t.co/Wfh7AltcPz"
154,GreenBenali,en,3453,1993,British,UK,Equalities Spokesperson for @thegreenparty. Chair of @lgbtiqgreens. No8 on Green Party Assembly List
155,ConMEPs,en,3280,1024,British,UK,Conservatives in the European Parliament. European Conservatives and Reformists
156,ProfCopusLG,en,4371,3698,British,UK,"Professor of Local Politics, De Montfort University.
‘All politics is local’
West Ham and England Fan. RT not endorsement.
English.
http://t.co/IjvzIolA"
157,LibDems,en,107770,4746,British,UK,"British political party working to build a stronger economy in a fairer society, creating opportunity for everyone. Led by @timfarron."
158,TheRedRag,en,6194,3881,British,UK,"Socially liberal
Conservative
Entrepreneur
Francophile"
159,KerryMP,en,23534,5154,British,UK,"Labour MP for Bristol East. For more than 140 character replies, diary or casework, please email kerry.mccarthy.mp@parliament.uk"
160,OfficialSYP,en,8022,2210,British,UK,The democratically elected voice of Scotland's young people. We are 160 MSYPs representing the views of our peers aged 12-25.
161,RufusHound,en,1088171,1029,British,UK,"Man, I wish I knew."
162,Andrew_ComRes,en,8403,1387,British,UK,"Pollster, pig farmer, parent, ComRes Chairman"
163,RobbieGibb,en,10073,447,British,UK,"Editor BBC's Daily & Sunday Politics, Exec Editor Andrew Marr Show and This Week. Head of BBC Westminster. Weekend golfer and supporter of Leeds United."
164,GrillingKippers,en,1612,831,British,UK,Yes to Europe.
165,dlknowles,en-gb,13554,1217,British,UK,Africa correspondent for The Economist. Yuppie
166,election_data,en,5279,546,British,UK,I map. I do maps. I can be paid to do maps. I like maps.
167,martinhume,en,15834,17344,British,UK,"Christian, self employed, no political party, against Geoengineering, willing to stand up for civil & human rights, truth justice love peace & equality for all."
168,bycLIVE,en,20618,2515,British,UK,We empower young people across the UK to have a say and be heard. We also manage @UKYP and @YoungMayorNtwrk. #youthvoice
169,UKYP,en,28127,3425,British,UK,Providing young people with a unique platform to help bring about change - and have their voices heard. Influencing decision makers since 1999. #youthvoice
170,votesat16,en,5251,1046,British,UK,Votes at 16 (UK) is a coalition of young people and leading youth and democracy organisations campaigning to lower the voting age to 16 in the UK.
171,liarpoliticians,en,11773,124,British,UK,"A B'stard who hates the lies and deception of politicians who these days, many are just in it for themselves. http://t.co/qlbKcra4Jf
http://t.co/1VNLiSmQDS"
172,SophyRidgeSky,en,45145,1698,British,UK,"Sky News Political Correspondent. Telegraph blogger. South Londoner, cat lover. http://t.co/3LvjCBVfBf https://t.co/z2XpmzA5Ra"
173,Run4demHills,en,4217,3027,British,UK,"Dyspraxia & Aspergic with Bi-polar disorder depression. Hate injustice & our lost democracy. 
R/Ts not necessarily my opinion.
No DMs please"
174,labourpress,en,71528,1197,British,UK,Labour's press team on Twitter
175,CCHQPress,en,36662,2341,British,UK,Official Conservative Party Press Office twitter feed providing snippets of news and commentary from CCHQ.
176,steve_hawkes,en,20999,3434,British,UK,"Deputy Political Editor, The Sun                                    steve.hawkes@the-sun.co.uk"
177,longsight9a,en,36760,35329,British,UK,"Retd.train driver44 yearsservice.
MUFC, 65yrs following
lifetime union memberASLEF

Longtime member of Labour party

Young 80's."
178,ProudPatriot101,en,10289,7028,British,UK,Proud Patriot Against Islam  You will not take over our country. Live by our Laws or leave. UK is under attack..EU/Gov & Moslem/3rd world Invaders.Anti PC & CM.
179,britainelects,en,28353,3,British,UK,Elections. Results. Polling. Data. Maps. Democracy. Website coming 'soon'.
180,seafarer1847,en,2489,2261,British,UK,"Ex Seafarer supports UK indy party to get 'Great Britain' out of EU that robs UK blind. 
POLITICIANS & NAPPIES NEED TO BE CHANGED OFTEN & FOR THE SAME REASON !"
181,richardhowitt,en,12425,9716,British,UK,"Labour MEP for Essex, Herts, Beds, Cambs, Norfolk, Suffolk. S & D and Labour Foreign Affairs Spokesperson, Corporate Responsibility Rapporteur."
182,unionstogether,en,7724,1024,British,UK,unionstogether is the campaigning voice for the 13 trade unions that are part of the Labour Party.
183,TheLawSociety,en,62565,267,British,UK,"The Law Society represents solicitors in England and Wales. Tweets from president Jonathan Smithers are signed - Jonathan, or JS."
184,TheCornishRep,fr,4629,5096,British,UK,Ideas for an empowered Cornwall in a 21st century Europe. It's all very political so you've been warned.
185,Con_Voice,en,4159,2292,British,UK,CV represents our supporters and amplifies their voice to the party leadership; champions conservative values and provides a campaign force to aspirational MPs
186,Greens4Animals,en,11509,12051,British,UK,Green Party 2015 General Election Manifesto for Animals https://t.co/1HHR31hMVB find us on facebook https://t.co/DKPmTWiRgN
187,PeterCranie,en,3389,2767,British,UK,"Senior Lecturer in Professional Education, UCU member, Green activist. Always my own views."
188,minefornothing,en,10915,123,British,UK,"Market Follower of Anglo Saxon descent - Global Macro & Politics. I reject the Europeanisation of Britain + much more
mine.4nothing@gmail.com"
189,CarolineLucas,en,149394,4131,British,UK,MP for Brighton Pavilion; Former Leader of the Green Party; Mum
190,SyedKamall,en,7018,1199,British,UK,Campaigning to become Conservative Candidate for #MayorofLondon. #Syed4London Conservative MEP for London and community activist for over 10 years.
191,BiteTheBallot,en,11894,1169,British,UK,A party-neutral movement on a mission to empower young people #TakePower ✊
192,Conservatives,en,175032,1609,British,UK,"Strong leadership. A clear economic plan. A brighter, more secure future."
193,ToryChairman,en,10267,5777,British,UK,"Office of the Party Chairman, CCHQ"
194,Alanlsg,en,16838,18506,British,UK,Trade and Development and Promoting Find An Acorn Plant An Oak The Carbon Soak Or Any Tree Seed Anywhere
195,BBCWestminHour,en,5818,340,British,UK,
196,CJTerry,en,2208,2298,British,UK,Researcher for @electoralreform. Elections nerd. All tweets personal.
197,afneil,en,309438,229,British,UK,"Chairman @Spectator, @Apollo_Magazine, @ITP_Publishing, @WorldMediaRight. 
@BBC presenter @dailypolitics @thisweek @sundaypolitics. 
Tweets reflect only my view"
